home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
Everton de Vina,Palestino,0.0,0.0,complete,1711227600,M. Riquelme,58.0,42.0,2.0,6.0,0.0,3.0,1.0,1.0,0,1.0,1.0
Universidad de Chile,Cobresal,2.0,2.0,complete,1711404000,C. Garay,66.0,34.0,10.0,2.0,5.0,3.0,1.0,1.0,0,1.0,1.0
A. Italiano,Coquimbo Unido,0.0,1.0,complete,1711659600,R. Alvarado,63.0,37.0,9.0,4.0,4.0,2.0,1.0,1.0,0,1.0,1.0
O'Higgins,Deportes Iquique,0.0,3.0,complete,1711668600,H. Jona,40.0,60.0,3.0,3.0,6.0,4.0,1.0,1.0,0,1.0,1.0
Cobresal,Palestino,0.0,2.0,complete,1711755000,N. Millas,46.0,54.0,4.0,5.0,5.0,4.0,1.0,1.0,0,1.0,1.0
Huachipato,U. Catolica,0.0,0.0,complete,1711810800,R. Carvajal,49.0,51.0,7.0,3.0,0.0,0.0,2.07,1.01,0,1.0,1.0
Colo Colo,Everton de Vina,4.0,1.0,complete,1711832400,F. Vejar,73.0,27.0,14.0,5.0,2.0,4.0,3.62,0.59,0,1.0,1.0
Cobreloa,Universidad de Chile,1.0,3.0,complete,1711918800,P. Maza,51.0,49.0,8.0,4.0,4.0,4.0,1.0,1.0,0,1.0,1.0
Deportes Copiapo,Union La Calera,2.0,0.0,complete,1711924200,F. Alveal,50.0,50.0,3.0,3.0,0.0,2.0,1.38,0.6,0,1.0,1.0
Union Espanola,Nublense,5.0,3.0,complete,1711927800,J. Cabero,53.0,47.0,7.0,6.0,2.0,3.0,1.0,1.0,0,1.0,1.0
Deportes Copiapo,Deportes Iquique,3.0,0.0,complete,1712417400,M. Vergara,35.0,65.0,6.0,3.0,2.0,3.0,1.0,1.0,0,1.0,1.0
Nublense,Colo Colo,3.0,0.0,complete,1712426400,R. Carvajal,33.0,67.0,8.0,6.0,4.0,2.0,1.0,1.0,0,1.0,1.0
U. Catolica,Cobresal,2.0,0.0,complete,1712435400,H. Jona,41.0,59.0,7.0,3.0,6.0,3.0,1.0,1.0,0,1.0,1.0
Everton de Vina,A. Italiano,2.0,0.0,complete,1712444400,M. Araos,56.0,44.0,15.0,6.0,3.0,1.0,1.0,1.0,0,1.0,1.0
Union La Calera,O'Higgins,2.0,3.0,complete,1712516400,N. Gamboa,46.0,54.0,7.0,3.0,6.0,3.0,1.0,1.0,0,1.0,1.0
Coquimbo Unido,Cobreloa,2.0,1.0,complete,1712525400,F. Gilabert,60.0,40.0,6.0,4.0,2.0,5.0,1.0,1.0,0,1.0,1.0
Union Espanola,Universidad de Chile,0.0,1.0,complete,1712534400,D. Flores,55.0,45.0,1.0,8.0,5.0,4.0,1.0,1.0,0,1.0,1.0
Union Espanola,Everton de Vina,4.0,2.0,complete,1713043800,R. Carvajal,51.0,49.0,5.0,12.0,1.0,3.0,2.45,2.19,0,1.0,1.0
Deportes Iquique,U. Catolica,2.0,3.0,complete,1713052800,M. Salvo,59.0,41.0,6.0,1.0,1.0,4.0,2.2,0.82,0,1.0,1.0
O'Higgins,Huachipato,0.0,0.0,complete,1713112200,M. Riquelme,54.0,46.0,7.0,1.0,1.0,1.0,1.51,1.06,0,1.0,1.0
Universidad de Chile,Coquimbo Unido,1.0,1.0,complete,1713112200,G. Philippe,61.0,39.0,6.0,7.0,4.0,4.0,1.21,0.92,0,1.0,1.0
Nublense,Palestino,0.0,2.0,complete,1713121200,B. Saravia,48.0,52.0,7.0,8.0,3.0,5.0,0.85,0.99,0,1.0,1.0
A. Italiano,Union La Calera,2.0,2.0,complete,1713139200,F. Vejar,54.0,46.0,4.0,2.0,3.0,2.0,1.0,1.0,0,1.0,1.0
Colo Colo,Cobreloa,0.0,2.0,complete,1713227400,N. Millas,77.0,23.0,16.0,1.0,2.0,6.0,3.83,0.59,0,1.0,1.0
Cobresal,Deportes Copiapo,3.0,0.0,complete,1713304800,R. Alvarado,55.0,45.0,5.0,8.0,1.0,5.0,1.0,1.0,0,1.0,1.0
Palestino,Huachipato,2.0,0.0,complete,1713382200,J. Lara,48.0,52.0,5.0,3.0,0.0,2.0,1.0,1.0,0,1.0,1.0
Union La Calera,Everton de Vina,0.0,1.0,complete,1713573000,M. Vergara,52.0,48.0,6.0,2.0,3.0,5.0,1.0,1.0,0,1.0,1.0
Cobresal,Nublense,2.0,2.0,complete,1713639600,J. Lara,60.0,40.0,3.0,7.0,0.0,4.0,1.0,1.0,0,1.0,1.0
U. Catolica,Colo Colo,0.0,1.0,complete,1713648600,H. Jona,48.0,52.0,5.0,11.0,4.0,5.0,1.0,1.0,0,1.0,1.0
Coquimbo Unido,O'Higgins,2.0,0.0,complete,1713659400,J. Sepúlveda,41.0,59.0,3.0,7.0,4.0,3.0,1.0,1.0,0,1.0,1.0
Huachipato,Deportes Iquique,2.0,1.0,complete,1713717000,D. Flores,52.0,48.0,7.0,3.0,3.0,3.0,1.0,1.0,0,1.0,1.0
Palestino,Universidad de Chile,2.0,2.0,complete,1713726000,F. Gilabert,48.0,52.0,5.0,3.0,1.0,5.0,1.0,1.0,0,1.0,1.0
Union Espanola,Deportes Copiapo,5.0,3.0,complete,1713735000,N. Gamboa,57.0,43.0,6.0,5.0,0.0,4.0,1.0,1.0,0,1.0,1.0
Cobreloa,A. Italiano,0.0,3.0,complete,1713744000,F. Alveal,50.0,50.0,5.0,1.0,1.0,1.0,1.03,2.3,0,1.0,1.0
O'Higgins,Union Espanola,2.0,2.0,complete,1714172400,V. Abarzúa,41.0,59.0,3.0,6.0,2.0,2.0,1.0,1.0,0,1.0,1.0
Deportes Copiapo,U. Catolica,0.0,1.0,complete,1714244400,J. Cabero,40.0,60.0,7.0,2.0,2.0,1.0,1.0,1.0,0,1.0,1.0
Nublense,Cobreloa,6.0,0.0,complete,1714253400,J. Sepúlveda,56.0,44.0,3.0,3.0,2.0,5.0,1.0,1.0,0,1.0,1.0
Everton de Vina,Coquimbo Unido,1.0,2.0,complete,1714321800,H. Jona,56.0,44.0,7.0,5.0,3.0,3.0,1.0,1.0,0,1.0,1.0
Huachipato,Universidad de Chile,0.0,4.0,complete,1714330800,P. Maza,49.0,51.0,4.0,5.0,3.0,4.0,1.0,1.0,0,1.0,1.0
Colo Colo,Union La Calera,3.0,1.0,complete,1714341600,R. Carvajal,67.0,33.0,8.0,2.0,0.0,3.0,1.0,1.0,0,1.0,1.0
Deportes Iquique,Palestino,2.0,1.0,complete,1714350600,C. Garay,47.0,53.0,0.0,7.0,4.0,2.0,1.77,0.41,0,1.0,1.0
A. Italiano,Cobresal,0.0,1.0,complete,1714437000,C. Díaz,69.0,31.0,13.0,1.0,1.0,2.0,2.11,1.0,0,1.0,1.0
Palestino,Deportes Copiapo,3.0,1.0,complete,1714764600,P. Maza,57.0,43.0,4.0,6.0,3.0,6.0,1.0,1.0,0,1.0,1.0
Coquimbo Unido,Huachipato,3.0,1.0,complete,1714777200,C. Garay,37.0,63.0,1.0,6.0,1.0,3.0,1.0,1.0,0,1.0,1.0
Cobresal,Colo Colo,2.0,2.0,complete,1714849200,N. Gamboa,45.0,55.0,8.0,1.0,2.0,4.0,1.0,1.0,0,1.0,1.0
Union Espanola,U. Catolica,1.0,2.0,complete,1714867200,F. Gilabert,49.0,51.0,2.0,4.0,3.0,5.0,1.0,1.0,0,1.0,1.0
Union La Calera,Nublense,2.0,1.0,complete,1714926600,C. Díaz,54.0,46.0,2.0,7.0,3.0,1.0,1.0,1.0,0,1.0,1.0
Universidad de Chile,Deportes Iquique,2.0,2.0,complete,1714935600,D. Flores,67.0,33.0,10.0,4.0,2.0,5.0,1.0,1.0,0,1.0,1.0
