l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,target_1x2,home_team_goal_count,away_team_goal_count
1.8,1.6,1.4,62.0,1.008,1.8,1.4,1.4,51.6,1.0,0,6.0,1.0
1.0,1.2,1.2,50.2,1.044,1.6,2.6,0.8,43.2,1.0,0,3.0,2.0
1.4,2.0,0.8,47.6,1.0,0.8,1.0,1.2,50.8,0.942,0,2.0,1.0
2.4,1.2,2.0,44.0,1.0,1.2,1.6,0.8,53.2,0.8280000000000001,0,4.0,0.0
1.2,1.2,1.4,45.4,0.868,1.4,0.8,2.0,43.2,0.9560000000000001,1,0.0,0.0
0.6,1.6,0.8,51.6,1.0639999999999998,1.0,0.2,2.4,57.2,1.226,2,0.0,1.0
1.0,0.6,1.8,56.4,0.952,1.4,0.8,1.6,48.0,1.0,0,4.0,0.0
1.2,1.8,1.2,51.6,1.0,1.0,1.2,1.6,44.0,1.142,0,5.0,1.0
1.6,1.8,1.4,44.4,1.0,1.6,2.0,1.2,51.6,1.252,2,0.0,2.0
1.4,1.4,1.6,48.2,0.982,1.2,0.6,1.6,44.4,0.7979999999999999,0,1.0,0.0
1.0,1.2,1.2,49.4,1.044,2.6,1.2,2.0,60.2,1.008,2,3.0,4.0
2.0,2.6,1.2,52.4,1.0,2.8,1.0,2.0,44.6,1.326,0,1.0,0.0
1.2,0.8,1.6,45.2,0.966,1.8,0.6,2.2,54.4,1.026,0,1.0,0.0
0.8,2.0,1.0,45.0,1.012,1.4,2.8,0.2,44.4,1.0,0,1.0,0.0
1.2,2.2,0.8,57.8,0.844,0.4,1.4,0.8,48.0,0.808,0,1.0,0.0
2.4,0.8,1.8,50.8,1.326,0.8,1.8,1.4,46.8,1.012,0,3.0,0.0
1.2,0.6,1.6,44.6,0.742,1.4,0.4,2.0,54.0,1.026,1,0.0,0.0
0.2,1.4,0.6,46.0,0.682,1.4,1.2,2.0,46.6,1.046,1,3.0,3.0
1.4,1.6,1.2,51.8,1.044,1.2,0.8,1.6,45.0,0.966,1,1.0,1.0
1.2,2.8,0.0,47.8,1.0,1.6,2.0,1.4,48.4,0.9400000000000001,2,2.0,3.0
1.0,0.2,2.4,58.2,0.9339999999999999,2.0,2.2,1.8,50.4,1.0,2,0.0,1.0
1.6,1.8,1.2,47.6,1.162,1.4,2.0,0.6,48.0,1.004,0,3.0,2.0
2.8,1.6,2.0,59.2,1.204,1.4,2.0,1.4,54.2,0.908,2,1.0,2.0
1.4,1.8,1.8,45.4,1.0,0.6,2.0,0.2,48.2,0.682,2,0.0,1.0
1.2,2.2,1.4,52.0,0.9620000000000001,1.4,1.2,1.4,52.0,1.044,2,1.0,2.0
1.8,2.0,0.6,48.8,1.004,2.4,0.8,1.8,51.2,1.6179999999999999,1,2.0,2.0
1.2,0.6,1.8,48.6,0.966,1.8,1.6,2.0,50.8,0.9400000000000001,2,0.0,2.0
1.2,0.4,1.6,58.4,1.026,2.6,1.8,1.4,58.8,1.2419999999999998,0,1.0,0.0
