l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,is_cup,home_team_lsi,away_team_lsi,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
1.2,1.8,0.4,48.2,1.1199999999999999,1.2,0.4,1.6,52.2,1.0,0,1.0,1.0,2,0.0,2.0,4.0,5.0
1.0,1.2,1.4,50.6,0.9719999999999999,0.8,1.0,1.0,57.6,0.9099999999999999,0,1.0,1.0,1,0.0,0.0,7.0,3.0
1.0,0.4,1.4,69.6,1.0,1.8,1.4,1.6,50.2,1.4440000000000002,0,1.0,1.0,0,4.0,1.0,14.0,5.0
1.2,1.4,2.0,48.4,1.292,1.6,0.6,2.6,53.4,1.128,0,1.0,1.0,2,1.0,3.0,8.0,4.0
0.8,2.4,0.0,48.0,1.0,0.4,1.0,1.0,40.2,1.068,0,1.0,1.0,0,2.0,0.0,3.0,3.0
1.2,1.2,1.4,46.4,0.992,1.0,1.0,1.4,46.8,1.016,0,1.0,1.0,0,5.0,3.0,7.0,6.0
1.0,1.8,0.6,46.0,1.076,2.4,0.8,2.6,59.2,1.4,0,1.0,1.0,0,3.0,0.0,6.0,3.0
1.6,2.0,1.2,46.0,1.016,1.2,0.6,1.4,70.8,1.524,0,1.0,1.0,0,3.0,0.0,8.0,6.0
0.8,0.8,1.2,56.0,0.9119999999999999,0.8,1.8,0.2,47.2,1.1199999999999999,0,1.0,1.0,0,2.0,0.0,7.0,3.0
1.8,2.0,1.4,48.6,1.362,0.4,1.2,0.8,48.8,1.0,0,1.0,1.0,0,2.0,0.0,15.0,6.0
0.2,1.4,0.4,43.4,0.9879999999999999,0.6,1.2,1.2,39.2,1.014,0,1.0,1.0,2,2.0,3.0,7.0,3.0
1.2,1.2,1.4,43.4,1.0,1.2,1.8,1.8,49.6,1.2120000000000002,0,1.0,1.0,0,2.0,1.0,6.0,4.0
2.2,1.2,2.0,50.4,0.992,2.0,0.8,2.6,52.0,1.128,0,1.0,1.0,2,0.0,1.0,1.0,8.0
1.8,1.0,1.8,51.6,0.992,2.0,1.6,2.0,47.6,1.362,0,1.0,1.0,0,4.0,2.0,5.0,12.0
2.2,1.2,2.4,59.2,1.4,0.8,0.8,1.2,56.2,0.9119999999999999,0,1.0,1.0,2,2.0,3.0,6.0,1.0
1.0,1.6,1.2,44.6,1.014,0.8,1.0,1.4,49.4,1.214,0,1.0,1.0,1,0.0,0.0,7.0,1.0
1.6,0.6,2.6,50.4,1.128,1.0,1.2,1.4,43.0,1.0,0,1.0,1.0,1,1.0,1.0,6.0,7.0
2.0,2.0,1.2,44.4,1.016,0.6,0.4,1.6,53.8,1.0,0,1.0,1.0,2,0.0,2.0,7.0,8.0
0.4,1.4,0.8,48.8,1.0,0.4,1.4,0.4,44.6,0.9880000000000001,0,1.0,1.0,1,2.0,2.0,4.0,2.0
1.2,1.0,1.4,69.6,1.524,1.4,1.2,1.8,46.8,1.2120000000000002,0,1.0,1.0,2,0.0,2.0,16.0,1.0
0.6,1.8,0.2,50.0,1.1199999999999999,1.4,1.2,1.2,45.4,1.076,0,1.0,1.0,0,3.0,0.0,5.0,8.0
1.0,0.0,2.2,52.2,0.998,0.8,0.8,1.6,45.4,1.2260000000000002,0,1.0,1.0,0,2.0,0.0,5.0,3.0
0.8,1.4,0.6,42.8,0.9400000000000001,1.6,2.0,1.4,49.4,1.6,0,1.0,1.0,2,0.0,1.0,6.0,2.0
1.0,1.4,0.8,48.6,1.1199999999999999,1.8,2.0,1.2,43.6,0.986,0,1.0,1.0,1,2.0,2.0,3.0,7.0
1.0,0.4,1.8,52.4,0.876,0.8,1.4,0.8,72.2,2.09,0,1.0,1.0,2,0.0,1.0,5.0,11.0
1.2,1.2,1.6,40.2,0.984,0.6,1.4,0.8,47.6,1.116,0,1.0,1.0,0,2.0,0.0,3.0,7.0
0.8,0.8,1.6,48.6,1.2260000000000002,2.0,1.6,1.8,59.0,1.64,0,1.0,1.0,0,2.0,1.0,7.0,3.0
1.2,0.0,2.2,52.0,0.998,1.6,0.8,2.2,56.4,1.17,0,1.0,1.0,1,2.0,2.0,5.0,3.0
2.4,1.4,1.8,52.4,1.282,1.2,1.2,1.2,45.0,1.076,0,1.0,1.0,0,5.0,3.0,6.0,5.0
1.4,1.0,1.8,40.4,1.1300000000000001,0.4,1.6,0.4,50.0,1.0,0,1.0,1.0,2,0.0,3.0,5.0,1.0
0.6,1.6,0.8,49.2,1.116,2.8,2.0,1.8,54.6,1.282,0,1.0,1.0,1,2.0,2.0,3.0,6.0
1.8,2.0,1.2,43.0,1.076,1.0,0.6,1.6,49.0,0.876,0,1.0,1.0,2,0.0,1.0,7.0,2.0
2.0,2.4,0.8,42.2,0.986,1.0,1.6,1.2,41.4,1.038,0,1.0,1.0,0,6.0,0.0,3.0,3.0
1.2,1.6,1.4,47.6,1.156,1.2,0.4,2.2,40.4,0.984,0,1.0,1.0,2,1.0,2.0,7.0,5.0
0.8,0.8,1.6,51.4,1.226,1.8,1.2,1.8,54.6,1.042,0,1.0,1.0,2,0.0,4.0,4.0,5.0
1.0,1.2,1.4,68.8,2.09,0.8,1.6,0.4,46.0,0.9400000000000001,0,1.0,1.0,0,3.0,1.0,8.0,2.0
1.4,1.6,1.2,56.6,1.64,1.6,0.4,2.2,48.8,0.998,0,1.0,1.0,0,2.0,1.0,0.0,7.0
1.0,1.0,1.0,49.2,1.26,1.4,1.6,1.0,50.8,1.0,0,1.0,1.0,2,0.0,1.0,13.0,1.0
1.8,0.8,2.0,51.0,0.8800000000000001,1.6,1.8,1.2,42.6,1.076,0,1.0,1.0,0,3.0,1.0,4.0,6.0
1.6,0.6,2.6,44.2,0.984,0.4,1.4,1.0,49.6,1.226,0,1.0,1.0,0,3.0,1.0,1.0,6.0
1.2,1.2,1.4,50.2,1.0,1.6,1.4,1.8,67.2,2.09,0,1.0,1.0,1,2.0,2.0,8.0,1.0
3.2,2.2,2.0,55.0,1.29,1.2,0.6,2.0,48.2,0.966,0,1.0,1.0,2,1.0,2.0,2.0,4.0
1.0,2.2,0.2,45.4,0.9199999999999999,2.8,1.8,1.4,44.8,0.97,0,1.0,1.0,0,2.0,1.0,2.0,7.0
2.2,0.8,2.2,51.6,1.042,1.6,1.8,1.2,55.8,1.3940000000000001,0,1.0,1.0,1,2.0,2.0,10.0,4.0
0.8,2.8,0.6,41.6,0.924,1.4,2.0,1.2,47.2,1.156,0,1.0,1.0,2,1.0,2.0,9.0,4.0
1.0,1.8,1.0,49.6,1.1019999999999999,1.0,1.2,0.8,56.0,1.482,0,1.0,1.0,2,0.0,5.0,6.0,7.0
0.6,2.0,0.8,52.4,1.012,2.4,2.0,1.4,54.2,1.29,0,1.0,1.0,1,2.0,2.0,8.0,4.0
1.6,0.8,2.4,48.2,0.9640000000000001,1.0,2.2,1.0,52.6,1.142,0,1.0,1.0,0,3.0,2.0,6.0,5.0
1.6,1.4,1.8,49.0,1.238,1.6,1.2,1.6,50.0,1.0,0,1.0,1.0,1,3.0,3.0,6.0,6.0
1.4,2.4,0.6,41.2,1.0,0.8,2.6,0.6,44.2,0.924,0,1.0,1.0,0,4.0,0.0,8.0,5.0
2.0,1.0,1.4,52.4,1.844,1.2,1.6,1.4,63.6,1.566,0,1.0,1.0,2,1.0,4.0,2.0,3.0
1.4,2.2,0.8,50.4,1.3940000000000001,2.4,1.2,1.4,44.6,0.97,0,1.0,1.0,0,2.0,1.0,8.0,6.0
1.4,2.0,0.8,46.2,1.0,2.0,1.0,1.8,55.2,1.042,0,1.0,1.0,2,1.0,3.0,1.0,5.0
1.8,2.0,1.4,47.0,1.238,1.6,2.4,0.6,44.2,1.0,0,1.0,1.0,0,1.0,0.0,9.0,8.0
0.6,3.0,0.6,46.2,0.924,1.8,1.8,1.4,47.2,1.3940000000000001,0,1.0,1.0,1,2.0,2.0,9.0,0.0
2.4,1.2,1.8,56.8,1.042,1.8,1.2,2.4,51.0,0.9640000000000001,0,1.0,1.0,2,1.0,2.0,9.0,4.0
2.0,1.6,0.8,48.2,0.97,0.8,2.4,0.4,50.8,1.142,0,1.0,1.0,1,2.0,2.0,2.0,3.0
2.0,1.2,2.0,65.0,1.566,2.0,1.0,2.0,51.6,0.8800000000000001,0,1.0,1.0,0,2.0,0.0,1.0,2.0
2.2,1.4,1.8,49.0,1.0,2.0,0.8,2.6,44.2,0.984,0,1.0,1.0,2,2.0,3.0,6.0,2.0
1.0,2.4,0.8,55.4,1.0,2.2,1.4,1.4,48.8,1.844,0,1.0,1.0,2,0.0,1.0,5.0,3.0
1.6,1.4,1.4,48.6,0.892,2.8,2.2,1.6,51.0,1.29,0,1.0,1.0,2,0.0,1.0,6.0,8.0
1.2,2.0,0.8,46.4,1.0,2.2,1.0,2.6,39.2,0.984,0,1.0,1.0,2,1.0,2.0,4.0,4.0
1.0,2.2,0.8,56.2,0.868,1.6,1.2,2.0,45.4,1.1039999999999999,0,1.0,1.0,0,1.0,0.0,4.0,8.0
1.8,1.6,1.6,46.2,1.3699999999999999,2.4,0.8,2.6,62.2,1.108,0,1.0,1.0,2,0.0,3.0,2.0,8.0
1.6,1.0,2.4,50.8,0.96,0.6,3.4,0.2,50.8,1.1940000000000002,0,1.0,1.0,0,4.0,1.0,2.0,5.0
1.2,2.8,0.4,49.4,1.06,2.0,2.0,1.2,51.0,1.0,0,1.0,1.0,1,2.0,2.0,9.0,2.0
1.6,2.0,0.6,47.0,1.1560000000000001,2.0,1.0,1.8,46.8,1.98,0,1.0,1.0,0,2.0,1.0,4.0,3.0
2.4,1.4,1.6,56.6,1.0879999999999999,2.4,1.6,1.0,49.2,1.046,0,1.0,1.0,1,0.0,0.0,13.0,0.0
0.8,3.6,0.2,50.6,1.188,1.6,2.8,0.6,50.2,1.06,0,1.0,1.0,2,0.0,4.0,3.0,4.0
2.2,1.8,1.6,53.0,1.0,1.6,1.8,1.6,43.8,1.3699999999999999,0,1.0,1.0,0,4.0,3.0,2.0,4.0
1.6,1.4,1.2,48.8,1.72,1.2,1.6,0.8,46.8,0.892,0,1.0,1.0,2,1.0,2.0,3.0,6.0
1.4,1.4,1.4,46.6,1.1039999999999999,2.0,1.0,1.6,59.8,1.0879999999999999,0,1.0,1.0,2,1.0,2.0,4.0,3.0
2.0,2.0,1.2,46.4,1.0,1.0,2.0,0.6,47.8,1.0,0,1.0,1.0,0,2.0,1.0,4.0,5.0
2.8,0.8,2.6,64.6,1.108,1.4,1.2,1.2,46.4,1.1560000000000001,0,1.0,1.0,2,0.0,1.0,9.0,1.0
2.4,1.0,3.0,40.8,1.0,2.4,1.0,3.0,51.4,0.96,0,1.0,1.0,0,2.0,0.0,6.0,5.0
2.4,1.0,3.0,41.8,1.024,1.2,1.4,1.2,48.6,0.892,0,1.0,1.0,1,0.0,0.0,10.0,3.0
2.0,1.8,1.6,50.8,1.0,1.2,2.2,0.6,47.4,1.0,0,1.0,1.0,2,0.0,1.0,4.0,4.0
2.0,1.2,1.0,47.6,1.046,0.8,2.0,0.8,55.0,0.868,0,1.0,1.0,0,3.0,0.0,8.0,6.0
0.8,1.8,0.8,56.4,0.7699999999999999,0.8,3.2,0.2,52.6,1.188,0,1.0,1.0,1,1.0,1.0,6.0,5.0
2.0,0.8,2.6,43.6,1.024,1.4,1.2,1.0,45.2,1.3,0,1.0,1.0,0,1.0,0.0,7.0,4.0
2.0,2.4,1.0,51.2,1.06,1.6,1.0,1.8,44.4,1.1560000000000001,0,1.0,1.0,0,2.0,0.0,3.0,5.0
2.2,1.4,2.4,50.2,0.844,1.2,1.6,1.2,48.0,1.0,0,1.0,1.0,0,2.0,0.0,0.0,5.0
1.8,2.4,1.0,45.2,1.216,1.8,1.6,1.2,43.6,1.498,0,1.0,1.0,0,2.0,1.0,6.0,4.0
1.0,1.0,1.4,47.4,1.01,1.4,1.4,1.4,43.4,1.1039999999999999,0,1.0,1.0,2,1.0,4.0,2.0,4.0
2.2,2.2,1.2,50.2,1.0,1.6,1.2,1.6,61.6,1.0879999999999999,0,1.0,1.0,1,3.0,3.0,8.0,1.0
2.2,0.8,2.0,65.2,1.108,1.6,1.6,1.4,51.8,1.0,0,1.0,1.0,0,2.0,1.0,13.0,3.0
1.8,1.4,1.4,45.0,1.21,1.8,2.2,1.4,51.0,1.4620000000000002,0,1.0,1.0,1,1.0,1.0,5.0,6.0
1.4,0.8,1.8,45.8,1.1560000000000001,1.6,0.6,2.6,45.6,1.024,0,1.0,1.0,0,3.0,0.0,1.0,6.0
1.6,1.6,1.4,49.4,1.0,2.4,2.4,1.2,48.8,1.28,0,1.0,1.0,0,2.0,1.0,8.0,4.0
2.2,0.6,2.4,66.8,1.108,2.4,1.4,1.6,50.2,1.02,0,1.0,1.0,0,2.0,1.0,3.0,7.0
1.2,1.0,1.0,46.6,1.3,2.2,1.2,2.4,50.0,0.844,0,1.0,1.0,2,1.0,2.0,3.0,3.0
1.0,2.0,0.6,42.2,1.598,1.8,1.4,1.6,60.6,1.0459999999999998,0,1.0,1.0,0,1.0,0.0,2.0,5.0
0.8,1.8,0.6,47.2,1.0,0.8,1.4,1.0,56.2,0.7699999999999999,0,1.0,1.0,0,2.0,1.0,2.0,7.0
0.8,3.0,0.4,47.4,1.188,0.6,1.6,0.8,47.2,1.026,0,1.0,1.0,0,3.0,1.0,5.0,1.0
1.0,0.8,2.0,48.6,0.9120000000000001,1.6,1.4,1.8,54.0,1.17,0,1.0,1.0,1,2.0,2.0,6.0,3.0
1.4,1.0,1.4,47.2,1.21,2.2,1.2,1.6,49.6,0.9399999999999998,0,1.0,1.0,1,1.0,1.0,5.0,2.0
2.0,1.0,2.4,49.8,0.8440000000000001,0.8,1.8,0.8,50.6,1.1560000000000001,0,1.0,1.0,1,1.0,1.0,1.0,10.0
1.6,2.2,1.0,49.8,1.4620000000000002,1.0,1.4,1.2,45.6,0.966,0,1.0,1.0,1,1.0,1.0,3.0,4.0
1.0,1.2,1.2,44.4,1.598,1.2,1.0,1.0,45.6,1.3,0,1.0,1.0,2,0.0,1.0,4.0,4.0
2.0,2.2,1.0,45.6,1.668,1.4,2.4,1.0,46.6,1.1239999999999999,0,1.0,1.0,0,3.0,2.0,6.0,4.0
1.2,1.4,1.0,62.6,1.046,1.2,0.8,1.8,45.8,1.126,0,1.0,1.0,0,1.0,0.0,14.0,1.0
1.0,1.8,1.0,53.2,1.256,2.0,1.0,1.6,53.0,0.9620000000000001,0,1.0,1.0,0,4.0,1.0,5.0,0.0
0.6,1.4,0.8,56.2,0.8160000000000001,2.2,2.0,1.6,44.6,2.21,0,1.0,1.0,1,0.0,0.0,6.0,2.0
1.4,2.6,0.8,45.4,0.884,1.0,1.2,1.4,44.0,0.994,0,1.0,1.0,0,2.0,0.0,6.0,2.0
1.2,0.8,1.8,39.2,0.798,1.0,0.6,1.4,44.0,1.394,0,1.0,1.0,2,0.0,1.0,3.0,3.0
1.2,1.0,1.6,65.4,1.658,1.8,0.6,2.4,63.6,1.3960000000000001,0,1.0,1.0,1,0.0,0.0,5.0,8.0
1.0,1.0,1.6,47.6,1.456,1.4,2.0,1.0,50.0,1.4260000000000002,0,1.0,1.0,2,1.0,2.0,13.0,1.0
0.8,1.4,0.6,46.6,1.324,1.8,1.8,1.4,53.4,1.3459999999999999,0,1.0,1.0,1,1.0,1.0,9.0,3.0
1.4,1.2,1.0,46.2,1.294,1.8,1.0,2.0,51.4,0.8320000000000001,0,1.0,1.0,1,0.0,0.0,5.0,8.0
1.4,0.6,2.0,59.6,1.142,0.8,1.4,1.0,48.8,1.544,0,1.0,1.0,0,2.0,0.0,3.0,5.0
1.2,1.4,1.0,53.8,1.344,1.6,1.8,1.4,47.0,1.026,0,1.0,1.0,0,3.0,0.0,7.0,3.0
0.8,0.8,1.2,40.6,0.7380000000000001,0.6,1.2,1.0,58.4,1.0959999999999999,0,1.0,1.0,2,0.0,2.0,10.0,2.0
1.8,1.4,1.4,50.2,0.866,1.2,1.0,1.6,63.2,1.6059999999999999,0,1.0,1.0,2,0.0,4.0,11.0,5.0
1.2,0.6,1.8,48.2,1.764,1.4,1.0,1.2,45.4,1.248,0,1.0,1.0,1,1.0,1.0,2.0,4.0
0.8,1.2,1.4,42.6,1.138,1.4,1.8,1.0,52.0,1.782,0,1.0,1.0,0,2.0,1.0,1.0,7.0
0.8,1.2,0.8,45.0,1.432,1.0,0.8,1.6,51.2,1.0,0,1.0,1.0,0,2.0,1.0,1.0,1.0
1.8,1.6,1.6,43.8,2.2700000000000005,1.8,1.6,1.6,52.4,1.5320000000000003,0,1.0,1.0,0,2.0,1.0,4.0,12.0
