home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
San Marcos de Arica,Deportes Santa Cruz,3.0,4.0,complete,1711926000,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Barnechea,3.0,1.0,complete,1711998000,V. Abarzúa,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Universidad de Concepcion,1.0,0.0,complete,1712417400,J. Cabero,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Santiago Wanderers,1.0,0.0,complete,1712426400,B. Saravia,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,Curico Unido,2.0,0.0,complete,1712440800,G. Philippe,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Union San Felipe,4.0,1.0,complete,1712507400,C. Garay,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,San Marcos de Arica,1.0,2.0,complete,1712507400,F. Vejar,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Deportes Santa Cruz,4.0,1.0,complete,1712516400,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,Santiago Morning,0.0,1.0,complete,1712617200,M. Riquelme,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,San Luis,2.0,3.0,complete,1712617200,N. Pozo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Deportes Limache,0.0,3.0,complete,1712950200,C. Díaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Antofagasta,0.0,1.0,complete,1713024000,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,Barnechea,1.0,1.0,complete,1713043800,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Universidad de Concepcion,3.0,0.0,complete,1713043800,J. Lara,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Rangers de Talca,0.0,1.0,complete,1713052800,H. Jona,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,D. La Serena,0.0,1.0,complete,1713130200,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Deportes Temuco,2.0,3.0,complete,1713130200,D. Seguel,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,Magallanes,0.0,0.0,complete,1713304800,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,San Marcos de Arica,0.0,2.0,complete,1713630600,V. Abarzúa,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,San Luis,0.0,3.0,complete,1713639600,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Santiago Morning,0.0,0.0,complete,1713659400,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Recoleta,3.0,0.0,complete,1713717000,G. Philippe,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,Santiago Wanderers,2.0,2.0,complete,1713735000,N. Pozo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Union San Felipe,1.0,0.0,complete,1713823200,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,Curico Unido,2.0,0.0,complete,1713832200,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Deportes Santa Cruz,2.0,1.0,complete,1713832200,E. Domínguez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Antofagasta,2.0,1.0,complete,1714244400,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,Deportes Temuco,0.0,0.0,complete,1714253400,R. Farías,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Universidad de Concepcion,2.0,1.0,complete,1714253400,F. Gaggero,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Barnechea,1.0,4.0,complete,1714262400,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Magallanes,0.0,1.0,complete,1714321800,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Rangers de Talca,1.0,2.0,complete,1714341600,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,D. La Serena,1.0,0.0,complete,1714437000,R. Alvarado González,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,Deportes Santa Cruz,1.0,1.0,complete,1714840200,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Barnechea,3.0,0.0,complete,1714840200,B. Pavez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Santiago Wanderers,1.0,1.0,complete,1714849200,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,Union San Felipe,2.0,1.0,complete,1714858200,R. Alvarado González,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Recoleta,1.0,0.0,complete,1714867200,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Deportes Limache,1.0,2.0,complete,1714926600,R. Carvajal,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Curico Unido,2.0,3.0,complete,1714944600,M. Riquelme,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,San Marcos de Arica,2.0,1.0,complete,1715032800,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Universidad de Concepcion,2.0,0.0,complete,1715209200,N. Millas,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Santiago Morning,2.0,2.0,complete,1715382000,F. Gaggero,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Deportes Limache,2.0,2.0,complete,1715454000,M. Araos,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Santiago Wanderers,0.0,0.0,complete,1715472000,M. Vergara,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Antofagasta,0.0,0.0,complete,1715531400,J. Sepúlveda,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,D. La Serena,0.0,0.0,complete,1715531400,Q. Orlando,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,San Luis,1.0,0.0,complete,1715549400,F. Alveal,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
