timestamp,home_team_name,away_team_name,stats_real,l_gf,l_gc,l_ppg,l_pos,l_xg,l_yc,l_sot,v_gf,v_gc,v_ppg,v_pos,v_xg,v_yc,v_sot,is_cup,home_team_lsi,away_team_lsi,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards
1709391600,D. La Serena,Magallanes,0.0,1.4285714285714286,0.7142857142857143,1.4285714285714286,53.07142857142857,1.5857142857142856,2.3000000000000003,4.5,0.7142857142857143,1.4285714285714286,1.4285714285714286,46.92857142857143,0.9000000000000001,2.6,3.8,0,1.0,1.0,0,1.0,0.0,5.4,4.2,2.3,2.6
1709499600,Rangers de Talca,Antofagasta,0.0,1.4,1.1,1.3,52.45,1.55,2.3000000000000003,4.5,1.1,1.4,1.6,47.55,1.2100000000000002,2.6000000000000005,3.8,0,1.0,1.0,0,4.0,0.0,7.199999999999999,4.2,2.3,2.6
1709508600,Union San Felipe,Recoleta,0.0,1.6363636363636365,1.0,1.4545454545454546,52.95454545454545,1.7363636363636366,2.3000000000000003,4.5,1.0,1.6363636363636365,1.4545454545454546,47.04545454545455,1.1363636363636365,2.6000000000000005,3.8,0,1.0,1.0,2,0.0,1.0,4.8,4.8,2.3,2.6
1709586000,Santiago Wanderers,Deportes Santa Cruz,0.0,1.5,1.0,1.3333333333333333,52.75,1.6333333333333335,2.3000000000000003,4.5,1.0,1.5,1.5833333333333333,47.25,1.1333333333333335,2.6000000000000005,3.8,0,1.0,1.0,2,1.0,2.0,5.4,5.4,2.3,2.6
1709595000,Barnechea,Curico Unido,0.0,1.4615384615384615,1.0769230769230769,1.2307692307692308,52.57692307692308,1.6,2.3000000000000003,4.5,1.0769230769230769,1.4615384615384615,1.6923076923076923,47.42307692307692,1.1923076923076925,2.6000000000000005,3.8,0,1.0,1.0,0,4.0,1.0,7.199999999999999,4.8,2.3,2.6
1709931600,Deportes Limache,Rangers de Talca,0.0,1.6428571428571428,1.0714285714285714,1.3571428571428572,52.857142857142854,1.742857142857143,2.3000000000000003,4.5,1.0476190476190477,1.0952380952380953,2.0476190476190474,47.92857142857143,1.1571428571428573,2.6000000000000005,3.8,0,1.0,1.0,2,0.0,1.0,4.8,4.8,2.3,2.6
1709931600,Recoleta,Barnechea,0.0,2.022222222222222,1.0444444444444445,1.8444444444444446,53.46666666666667,2.04,2.3,4.5,1.0444444444444445,1.3555555555555556,1.4444444444444446,47.53333333333333,1.1533333333333335,2.6000000000000005,3.8,0,1.0,1.0,2,1.0,2.0,5.4,5.4,2.3,2.6
1709940600,San Marcos de Arica,Santiago Morning,0.0,1.0,1.0833333333333335,0.7916666666666667,51.875,1.2541666666666669,2.3,4.5,1.125,1.5,1.75,47.4375,1.225,2.6000000000000005,3.8,0,1.0,1.0,0,2.0,0.0,6.0,4.2,2.3,2.6
1709940600,Curico Unido,Deportes Santa Cruz,0.0,1.6862745098039218,0.7058823529411765,1.8627450980392157,53.470588235294116,1.7686274509803925,2.3,4.5,1.3725490196078431,1.3529411764705883,2.0980392156862746,48.029411764705884,1.4176470588235295,2.6000000000000005,3.8,0,1.0,1.0,2,1.0,2.0,5.4,5.4,2.3,2.6
1709996400,D. La Serena,Santiago Wanderers,0.0,1.3333333333333333,0.7407407407407408,1.8148148148148149,52.8888888888889,1.4851851851851854,2.3,4.5,1.0740740740740742,2.0,1.1481481481481484,46.611111111111114,1.1777777777777778,2.6000000000000005,3.8,0,1.0,1.0,2,1.0,2.0,5.4,5.4,2.3,2.6
1710018000,Magallanes,Deportes Temuco,0.0,0.9824561403508772,1.105263157894737,0.7719298245614036,51.81578947368422,1.2368421052631582,2.3,4.5,1.105263157894737,0.9824561403508772,2.192982456140351,48.184210526315795,1.2017543859649122,2.6000000000000005,3.8,0,1.0,1.0,0,3.0,1.0,6.6,4.8,2.3,2.6
1710082800,Antofagasta,Universidad de Concepcion,0.0,1.0333333333333334,1.1,0.8333333333333335,51.900000000000006,1.2766666666666668,2.3,4.5,1.15,1.55,1.7,47.4,1.2449999999999999,2.6000000000000005,3.8,0,1.0,1.0,0,3.0,0.0,6.6,4.2,2.3,2.6
1710115200,San Luis,Union San Felipe,0.0,1.619047619047619,1.0952380952380953,1.3333333333333333,52.785714285714285,1.7190476190476187,2.2999999999999994,4.5,0.7301587301587303,1.746031746031746,1.0793650793650795,46.47619047619048,0.9365079365079365,2.6000000000000005,3.8,0,1.0,1.0,0,3.0,1.0,6.6,4.8,2.3,2.6
