timestamp,home_team_name,away_team_name,stats_real,l_gf,l_gc,l_ppg,l_pos,l_xg,l_yc,l_sot,v_gf,v_gc,v_ppg,v_pos,v_xg,v_yc,v_sot,is_cup,home_team_lsi,away_team_lsi,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards
1708734600,Coquimbo Unido,Deportes Copiapo,0.0,0.6666666666666666,1.8333333333333333,0.3333333333333333,48.166666666666664,1.0666666666666667,2.5,4.5,1.8333333333333333,0.6666666666666666,2.3333333333333335,51.833333333333336,0.9766666666666666,2.3333333333333335,3.8,0,1.0,1.0,0,3.0,1.0,10.0,1.0,6.0,6.0
1708894800,O'Higgins,Colo Colo,0.0,1.2727272727272727,1.2727272727272727,1.0909090909090908,53.09090909090909,1.0363636363636364,2.909090909090909,4.5,1.8484848484848486,0.8484848484848486,2.090909090909091,53.60606060606061,0.9915151515151515,2.7272727272727275,3.8,0,1.0,1.0,0,1.0,0.0,11.0,2.0,2.0,4.0
1709335800,Cobreloa,Cobresal,0.0,1.2051282051282053,1.153846153846154,1.153846153846154,48.94871794871795,1.153846153846154,1.8461538461538463,4.5,1.2307692307692308,1.3076923076923077,1.4615384615384615,49.07692307692308,0.9892307692307691,3.230769230769231,3.8,0,1.0,1.0,0,2.0,1.0,4.0,3.0,2.0,5.0
1709413200,Palestino,U. Catolica,0.0,2.571428571428571,0.8095238095238095,1.9047619047619049,49.47619047619048,1.0190476190476192,3.1428571428571432,4.5,1.2142857142857142,1.3571428571428572,1.3571428571428572,48.785714285714285,0.99,3.357142857142857,3.8,0,1.0,1.0,2,0.0,2.0,6.0,5.0,3.0,5.0
1709413200,O'Higgins,Everton de Vina,0.0,1.1777777777777778,0.8444444444444446,1.8444444444444446,43.53333333333334,1.017777777777778,2.488888888888889,4.5,1.1777777777777778,1.1777777777777778,1.3111111111111111,43.800000000000004,0.9937777777777779,3.3111111111111113,3.8,0,1.0,1.0,0,2.0,1.0,3.0,9.0,3.0,1.0
1709422200,Union Espanola,Coquimbo Unido,0.0,0.8750000000000001,1.8333333333333335,0.9166666666666667,45.00000000000001,1.0166666666666666,3.5,4.5,0.8333333333333335,0.8750000000000001,1.25,49.0,0.9941666666666666,2.875,3.8,0,1.0,1.0,0,1.0,0.0,1.0,12.0,2.0,4.0
1709422200,Nublense,A. Italiano,0.0,0.8627450980392158,0.7843137254901962,1.3137254901960786,50.84313725490197,1.0156862745098039,2.1372549019607847,4.5,0.7843137254901962,1.1960784313725492,0.8627450980392158,47.490196078431374,0.9945098039215687,3.2352941176470593,3.8,0,1.0,1.0,2,1.0,2.0,11.0,4.0,2.0,5.0
1709499600,Colo Colo,Huachipato,0.0,1.2777777777777777,1.2222222222222223,1.3888888888888888,50.833333333333336,1.0222222222222221,2.6666666666666665,4.5,1.1481481481481484,1.1851851851851851,1.2592592592592593,51.111111111111114,0.9481481481481482,2.9629629629629632,3.8,0,1.0,1.0,0,2.0,0.0,1.0,3.0,2.0,0.0
1709508600,Union La Calera,Deportes Iquique,0.0,1.3157894736842106,1.1578947368421053,1.4736842105263157,51.526315789473685,1.0210526315789472,2.6315789473684212,4.5,1.7719298245614037,1.5438596491228072,1.8771929824561404,51.98245614035088,0.9950877192982457,3.8421052631578947,3.8,0,1.0,1.0,2,1.0,3.0,3.0,6.0,2.0,0.0
1709589600,Deportes Copiapo,Universidad de Chile,0.0,1.2000000000000002,1.8333333333333335,0.9333333333333333,53.966666666666676,1.0133333333333334,2.4000000000000004,4.5,1.25,1.3,1.4,49.05,0.993,3.1,3.8,0,1.0,1.0,2,1.0,3.0,0.0,4.0,2.0,4.0
1710018000,Cobresal,Huachipato,0.0,1.523809523809524,1.5555555555555556,1.2222222222222223,50.84126984126984,1.0126984126984127,2.3809523809523814,4.5,0.9166666666666666,1.3928571428571428,0.9880952380952381,47.36904761904762,0.9616666666666667,2.071428571428571,3.8,0,1.0,1.0,2,1.0,2.0,11.0,2.0,2.0,2.0
1710027000,O'Higgins,Palestino,0.0,1.3863636363636362,0.9318181818181818,2.1363636363636362,42.13636363636364,1.009090909090909,2.5227272727272725,4.5,1.3636363636363635,1.2727272727272727,1.5454545454545454,48.72727272727273,0.9936363636363637,3.090909090909091,3.8,0,1.0,1.0,2,0.0,1.0,7.0,5.0,2.0,6.0
1710027000,Union Espanola,A. Italiano,0.0,0.8586956521739131,1.4239130434782608,1.358695652173913,45.630434782608695,1.008695652173913,3.0108695652173916,4.5,1.1739130434782608,1.108695652173913,1.5543478260869565,47.369565217391305,0.9969565217391304,3.608695652173913,3.8,0,1.0,1.0,0,3.0,0.0,6.0,1.0,4.0,2.0
1710082800,Deportes Iquique,Coquimbo Unido,0.0,1.1944444444444446,1.1944444444444446,1.1944444444444446,55.69444444444444,1.011111111111111,3.055555555555556,4.5,0.6458333333333334,0.8958333333333334,1.0208333333333335,49.97916666666667,0.9970833333333333,3.083333333333333,3.8,0,1.0,1.0,0,4.0,2.0,7.0,4.0,5.0,2.0
1710104400,Colo Colo,Universidad de Chile,0.0,1.6,0.8800000000000001,1.9066666666666667,55.60000000000001,1.0106666666666668,2.4533333333333336,4.5,1.8800000000000001,1.2666666666666666,1.9866666666666668,50.06666666666667,0.9962666666666666,3.413333333333334,3.8,0,1.0,1.0,2,0.0,1.0,7.0,0.0,0.0,1.0
1710115200,Nublense,Deportes Copiapo,0.0,0.9230769230769231,1.1538461538461537,0.9038461538461539,51.78846153846154,1.0076923076923077,2.0384615384615383,4.5,1.2051282051282053,1.8974358974358976,1.0256410256410258,44.61538461538461,0.9964102564102564,4.0256410256410255,3.8,0,1.0,1.0,0,1.0,0.0,2.0,2.0,4.0,6.0
1710194400,U. Catolica,Everton de Vina,0.0,0.888888888888889,1.1728395061728396,0.9135802469135804,54.25925925925926,1.0098765432098766,3.7530864197530867,4.5,1.1296296296296298,1.4166666666666665,0.9907407407407407,48.05555555555556,0.9974074074074074,2.5740740740740744,3.8,0,1.0,1.0,2,2.0,4.0,4.0,5.0,2.0,2.0
1710203400,Union La Calera,Cobreloa,0.0,1.2380952380952381,1.9047619047619049,0.880952380952381,48.11904761904762,1.0095238095238095,2.404761904761905,4.5,0.9047619047619049,2.571428571428571,1.023809523809524,49.88095238095238,0.9966666666666668,3.404761904761905,3.8,0,1.0,1.0,2,0.0,2.0,6.0,3.0,3.0,4.0
1710545400,Deportes Iquique,Cobresal,0.0,1.9051724137931034,1.4396551724137931,1.6379310344827587,57.38793103448276,1.0110344827586206,3.560344827586207,4.5,1.252873563218391,1.5402298850574714,1.0574712643678164,46.816091954022994,1.0080459770114942,3.7586206896551726,3.8,0,1.0,1.0,0,1.0,0.0,3.0,4.0,2.0,2.0
1710601200,Everton de Vina,Nublense,0.0,1.3,1.3333333333333333,1.3333333333333333,52.233333333333334,1.088,2.6,4.5,1.2222222222222223,0.8666666666666668,2.022222222222222,45.51111111111111,1.0211111111111113,2.4000000000000004,3.8,0,1.0,1.0,0,3.0,2.0,8.0,2.0,3.0,3.0
1710622800,Universidad de Chile,O'Higgins,0.0,1.2365591397849462,0.903225806451613,1.924731182795699,53.59139784946237,1.104516129032258,2.741935483870968,4.5,1.903225806451613,1.2365591397849462,1.989247311827957,45.075268817204304,1.0221505376344087,2.731182795698925,3.8,0,1.0,1.0,0,1.0,0.0,6.0,3.0,3.0,4.0
1710631800,Cobreloa,Union Espanola,0.0,1.421875,1.15625,1.71875,51.328125,1.1859375,1.8125,4.5,1.5416666666666667,1.5625,1.2916666666666667,47.895833333333336,1.0229166666666667,3.416666666666667,3.8,0,1.0,1.0,0,1.0,0.0,2.0,8.0,2.0,4.0
1710687600,Huachipato,Deportes Copiapo,0.0,0.888888888888889,1.1818181818181819,0.9898989898989901,56.909090909090914,1.1226262626262626,1.7373737373737375,4.5,0.8863636363636364,1.6666666666666665,0.696969696969697,46.56818181818181,1.016060606060606,4.575757575757576,3.8,0,1.0,1.0,0,2.0,1.0,6.0,2.0,4.0,1.0
1710687600,Coquimbo Unido,Colo Colo,0.0,1.9019607843137256,1.1764705882352942,2.019607843137255,55.68627450980392,1.1190196078431374,3.764705882352941,4.5,1.3823529411764706,0.9264705882352942,1.4264705882352942,58.73529411764706,1.0155882352941177,3.0441176470588234,3.8,0,1.0,1.0,1,0.0,0.0,5.0,3.0,2.0,5.0
1710709200,Palestino,Union La Calera,0.0,1.907142857142857,1.1142857142857143,1.5071428571428571,52.37142857142857,1.0867142857142857,3.064285714285714,4.5,1.1523809523809525,0.8761904761904763,1.8952380952380952,43.50476190476191,1.0201904761904763,3.428571428571429,3.8,0,1.0,1.0,1,0.0,0.0,7.0,1.0,3.0,3.0
1710718200,U. Catolica,A. Italiano,0.0,1.1388888888888888,1.8472222222222223,0.75,55.79166666666667,1.0843055555555554,3.3194444444444446,4.5,0.8777777777777778,1.511111111111111,1.1333333333333333,48.36666666666666,1.0117777777777779,3.2555555555555555,3.8,0,1.0,1.0,1,0.0,0.0,4.0,3.0,4.0,3.0
1711144800,Union La Calera,U. Catolica,0.0,0.8716216216216216,1.8310810810810811,0.7432432432432432,49.96621621621622,1.142027027027027,2.5878378378378377,4.5,1.4414414414414414,0.8288288288288289,1.882882882882883,45.04504504504504,1.0190990990990993,3.756756756756757,3.8,0,1.0,1.0,1,0.0,0.0,7.0,10.0,2.0,2.0
1711227600,Everton de Vina,Palestino,0.0,1.8070175438596492,1.4210526315789473,1.9824561403508771,53.66666666666667,1.8482456140350878,2.7719298245614037,4.5,1.087719298245614,0.8070175438596492,1.8771929824561404,48.33333333333333,1.0107017543859649,4.0701754385964914,3.8,0,1.0,1.0,1,0.0,0.0,2.0,6.0,0.0,3.0
1711404000,Universidad de Chile,Cobresal,0.0,1.0897435897435899,0.5512820512820513,2.230769230769231,55.32692307692308,1.2391025641025641,2.7948717948717947,4.5,0.8012820512820513,1.3397435897435899,0.6538461538461539,47.42307692307692,1.1578205128205128,3.301282051282051,3.8,0,1.0,1.0,1,2.0,2.0,10.0,2.0,5.0,3.0
1711659600,A. Italiano,Coquimbo Unido,0.0,1.4666666666666668,1.75,0.9666666666666668,48.66666666666667,1.1028333333333333,2.1,4.5,0.85,1.48,0.72,47.400000000000006,1.0061,2.84,3.8,0,1.0,1.0,2,0.0,1.0,9.0,4.0,4.0,2.0
1711668600,O'Higgins,Deportes Iquique,0.0,1.0682926829268293,0.8487804878048781,1.7658536585365852,44.50243902439024,1.0601951219512196,2.4731707317073175,4.5,2.0609756097560976,1.3353658536585367,2.1707317073170733,53.3719512195122,1.0074390243902438,2.7865853658536586,3.8,0,1.0,1.0,2,0.0,3.0,3.0,3.0,6.0,4.0
1711755000,Cobresal,Palestino,0.0,1.3214285714285714,1.5833333333333335,0.9404761904761905,54.476190476190474,1.0734523809523808,2.380952380952381,4.5,0.8333333333333334,0.5714285714285714,1.6904761904761905,46.523809523809526,1.0072619047619047,3.7976190476190474,3.8,0,1.0,1.0,2,0.0,2.0,4.0,5.0,5.0,4.0
1711810800,Huachipato,U. Catolica,0.0,1.058139534883721,1.0930232558139537,1.4244186046511627,57.151162790697676,1.0717441860465118,2.4069767441860463,4.5,1.0930232558139537,0.5581395348837209,1.7093023255813953,49.848837209302324,0.8945930232558139,3.308139534883721,3.8,0,1.0,1.0,1,0.0,0.0,7.0,3.0,0.0,0.0
1711832400,Colo Colo,Everton de Vina,0.0,1.0454545454545454,0.8295454545454546,1.4204545454545454,59.36363636363636,1.0822727272727273,1.875,4.5,1.6636363636363636,1.4363636363636363,1.3636363636363638,46.30909090909091,1.0056363636363637,2.418181818181818,3.8,0,1.0,1.0,0,4.0,1.0,14.0,5.0,2.0,4.0
1711918800,Cobreloa,Universidad de Chile,0.0,1.2622222222222221,0.8622222222222222,1.9511111111111112,49.675555555555555,1.2816444444444444,1.8933333333333335,4.5,1.5777777777777777,0.8277777777777777,2.188888888888889,44.65555555555555,1.0023333333333333,2.783333333333333,3.8,0,1.0,1.0,2,1.0,3.0,8.0,4.0,4.0,4.0
1711924200,Deportes Copiapo,Union La Calera,0.0,1.0760869565217392,2.0978260869565215,0.6739130434782609,53.076086956521735,1.1071739130434781,2.3804347826086953,4.5,0.8478260869565217,0.5760869565217391,1.7065217391304348,41.173913043478265,1.0022826086956522,3.2934782608695654,3.8,0,1.0,1.0,0,2.0,0.0,3.0,3.0,0.0,2.0
1711927800,Union Espanola,Nublense,0.0,1.2680851063829786,1.0680851063829788,1.753191489361702,46.238297872340425,1.087148936170213,3.280851063829787,4.5,1.3351063829787235,1.3351063829787235,1.4414893617021276,44.70212765957447,1.0179787234042554,2.5319148936170213,3.8,0,1.0,1.0,0,5.0,3.0,7.0,6.0,2.0,3.0
1712417400,Deportes Copiapo,Deportes Iquique,0.0,1.2999999999999998,1.6833333333333333,1.1666666666666667,52.44166666666666,1.1613333333333333,1.875,4.5,2.283333333333333,1.1,2.341666666666667,54.75833333333333,0.9984166666666667,3.025,3.8,0,1.0,1.0,0,3.0,0.0,6.0,3.0,2.0,3.0
1712426400,Nublense,Colo Colo,0.0,0.9142857142857144,0.8734693877551021,1.379591836734694,50.89795918367347,1.083591836734694,2.469387755102041,4.5,1.073469387755102,0.7142857142857143,1.3306122448979592,62.102040816326536,0.9984489795918368,3.424489795918367,3.8,0,1.0,1.0,0,3.0,0.0,8.0,6.0,4.0,2.0
1712435400,U. Catolica,Cobresal,0.0,0.9279999999999999,1.464,0.7919999999999999,57.544,1.08192,3.48,4.5,1.064,1.528,0.72,44.855999999999995,1.11848,3.216,3.8,0,1.0,1.0,0,2.0,0.0,7.0,3.0,6.0,3.0
1712444400,Everton de Vina,A. Italiano,0.0,1.4166666666666665,1.0686274509803921,1.7549019607843137,54.57352941176471,1.6553921568627454,2.1323529411764706,4.5,0.7124183006535948,1.2777777777777777,1.0915032679738563,46.28431372549019,0.9987581699346406,3.1797385620915035,3.8,0,1.0,1.0,0,2.0,0.0,15.0,6.0,3.0,1.0
1712516400,Union La Calera,O'Higgins,0.0,0.7384615384615385,1.4461538461538461,0.8153846153846154,46.892307692307696,1.1467692307692308,2.5076923076923077,4.5,1.3076923076923077,1.1730769230769231,1.375,43.88461538461539,1.015673076923077,3.0,3.8,0,1.0,1.0,2,2.0,3.0,7.0,3.0,6.0,3.0
1712525400,Coquimbo Unido,Cobreloa,0.0,1.4292452830188678,0.8254716981132075,1.7547169811320755,47.56132075471698,1.0966037735849057,3.4150943396226414,4.5,1.0754716981132075,1.9292452830188678,1.391509433962264,48.93867924528302,1.1207075471698114,3.5,3.8,0,1.0,1.0,0,2.0,1.0,6.0,4.0,2.0,5.0
1712534400,Union Espanola,Universidad de Chile,0.0,1.9567901234567902,1.382716049382716,2.0123456790123457,47.092592592592595,1.0632098765432099,3.1049382716049383,4.5,1.8592592592592594,0.9481481481481482,2.303703703703704,45.88888888888889,0.9985925925925926,3.014814814814815,3.8,0,1.0,1.0,2,0.0,1.0,1.0,8.0,5.0,4.0
1713043800,Union Espanola,Everton de Vina,0.0,1.6701298701298701,1.3272727272727272,1.716883116883117,48.23896103896104,1.0531948051948052,3.3870129870129873,4.5,1.5484848484848484,1.9484848484848485,1.0969696969696972,43.22121212121212,0.9305151515151515,2.6848484848484846,3.8,0,1.0,1.0,0,4.0,2.0,5.0,12.0,1.0,3.0
1713052800,Deportes Iquique,U. Catolica,0.0,1.7571428571428571,1.0642857142857143,2.0142857142857142,55.92857142857142,1.4835,3.3285714285714283,4.5,0.8642857142857143,0.5571428571428572,1.5071428571428571,50.27142857142857,0.9191428571428572,2.621428571428572,3.8,0,1.0,1.0,2,2.0,3.0,6.0,1.0,1.0,4.0
1713112200,O'Higgins,Huachipato,0.0,0.9678362573099415,1.2309941520467835,1.5029239766081872,43.48245614035088,1.0753801169590644,3.0964912280701755,4.5,1.0771929824561404,1.3614035087719296,1.3192982456140352,45.021052631578954,0.9777543859649123,2.0280701754385966,3.8,0,1.0,1.0,1,0.0,0.0,7.0,1.0,1.0,1.0
1713112200,Universidad de Chile,Coquimbo Unido,0.0,1.3517241379310345,0.8689655172413793,2.0,57.393103448275866,1.2204137931034484,3.3034482758620687,4.5,0.8908045977011494,1.293103448275862,1.0977011494252875,45.839080459770116,1.0050574712643678,2.67816091954023,3.8,0,1.0,1.0,1,1.0,1.0,6.0,7.0,4.0,4.0
1713121200,Nublense,Palestino,0.0,1.290960451977401,0.7231638418079096,1.6638418079096045,47.878531073446325,1.0768926553672318,2.7598870056497176,4.5,1.0677966101694916,0.5491525423728814,1.9152542372881358,48.14576271186441,1.0054237288135592,3.8203389830508474,3.8,0,1.0,1.0,2,0.0,2.0,7.0,8.0,3.0,5.0
1713139200,A. Italiano,Union La Calera,0.0,1.175,1.5916666666666668,0.7333333333333333,52.03333333333333,1.1121666666666667,2.6416666666666666,4.5,0.6733333333333333,0.94,1.3266666666666667,43.17333333333333,0.9252666666666667,3.033333333333333,3.8,0,1.0,1.0,1,2.0,2.0,4.0,2.0,3.0,2.0
1713227400,Colo Colo,Cobreloa,0.0,1.7442622950819673,0.8786885245901639,1.7836065573770492,62.03934426229509,1.6122622950819672,1.914754098360656,4.5,1.0786885245901638,1.9442622950819675,1.1245901639344262,46.96065573770492,1.1031803278688526,3.826229508196721,3.8,0,1.0,1.0,2,0.0,2.0,16.0,1.0,2.0,6.0
1713304800,Cobresal,Deportes Copiapo,0.0,1.135483870967742,1.6838709677419355,0.7741935483870968,52.8,1.1050967741935485,2.9096774193548387,4.5,0.8838709677419354,1.7354838709677418,0.535483870967742,45.6,1.002451612903226,3.8451612903225802,3.8,0,1.0,1.0,0,3.0,0.0,5.0,8.0,1.0,5.0
1713382200,Palestino,Huachipato,0.0,1.546031746031746,0.8761904761904762,1.384126984126984,55.01587301587301,1.1034285714285714,3.0984126984126985,4.5,0.8968253968253969,1.1216931216931219,1.2724867724867726,44.98677248677249,0.9886772486772488,1.880952380952381,3.8,0,1.0,1.0,0,2.0,0.0,5.0,3.0,0.0,2.0
1713573000,Union La Calera,Everton de Vina,0.0,0.9583333333333334,1.7239583333333333,0.6614583333333334,46.989583333333336,1.1415104166666667,3.067708333333333,4.5,1.6205357142857144,2.25,0.9419642857142858,43.86607142857143,1.113125,2.75,3.8,0,1.0,1.0,2,0.0,1.0,6.0,2.0,3.0,5.0
1713639600,Cobresal,Nublense,0.0,1.4512820512820515,1.3897435897435897,1.1538461538461537,53.15384615384615,1.0835384615384616,2.569230769230769,4.5,1.6676923076923078,2.1415384615384614,1.1292307692307693,45.215384615384615,1.0183384615384616,2.661538461538462,3.8,0,1.0,1.0,1,2.0,2.0,3.0,7.0,0.0,4.0
1713648600,U. Catolica,Colo Colo,0.0,1.121212121212121,1.2272727272727273,1.1515151515151516,55.025252525252526,1.0822727272727273,3.888888888888889,4.5,0.893939393939394,1.121212121212121,1.106060606060606,62.80808080808081,1.0019191919191919,3.2222222222222223,3.8,0,1.0,1.0,2,0.0,1.0,5.0,11.0,4.0,5.0
